1STAFM0.SPL, name: Magic Missile, opcodes: 112 122 
SPIN706.SPL, name: null, opcodes: 174 215 12 
SPIN707.SPL, name: null, opcodes: 142 25 12 
SPIN708.SPL, name: null, opcodes: 185 174 215 12 
SPIN709.SPL, name: null, opcodes: 215 12 
SPIN710.SPL, name: Spell Deflection, opcodes: 50 139 291 141 201 174 142 
SPIN711.SPL, name: Heal, opcodes: 17 81 77 79 11 240 75 164 
SPIN712.SPL, name: null, opcodes: 1 139 81 58 77 177 215 240 60 
SPIN713.SPL, name: Ice Dust, opcodes: 141 30 
SPIN714.SPL, name: Lightning Bolt, opcodes: 12 
SPIN715.SPL, name: null, opcodes: 174 67 12 
SPIN716.SPL, name: null, opcodes: 31 
SPIN717.SPL, name: Slayer Change, opcodes: 174 111 215 135 
SPIN718.SPL, name: End Slayer Change, opcodes: 141 174 172 112 93 265 215 31 135 
SPIN719.SPL, name: Meteor Swarm, opcodes: 12 
SPIN720.SPL, name: null, opcodes: 215 12 
SPIN721.SPL, name: null, opcodes: 215 12 
SPIN722.SPL, name: null, opcodes: 290 
SPIN723.SPL, name: Dragon Rain, opcodes: 141 55 12 
SPIN724.SPL, name: null, opcodes: 174 215 
SPIN725.SPL, name: null, opcodes: 174 53 
SPIN726.SPL, name: null, opcodes: 215 12 
SPIN727.SPL, name: Psionic Blast, opcodes: 142 215 45 
SPIN728.SPL, name: null, opcodes: 174 151 
SPIN729.SPL, name: null, opcodes: 53 
SPIN730.SPL, name: Summon Fungus, opcodes: 174 177 
SPIN731.SPL, name: Wish, opcodes: 215 60 
SPIN732.SPL, name: Wish, opcodes: 244 215 
SPIN733.SPL, name: Wish, opcodes: 25 215 
SPIN734.SPL, name: Wish, opcodes: 17 81 79 11 215 240 164 75 
SPIN735.SPL, name: Wish, opcodes: 177 
SPIN736.SPL, name: Wish, opcodes: 146 
SPIN737.SPL, name: Wish, opcodes: 261 215 
SPIN738.SPL, name: Wish, opcodes: 146 
SPIN739.SPL, name: null, opcodes: 151 
SPIN740.SPL, name: null, opcodes: 151 
SPIN741.SPL, name: null, opcodes: 151 
SPIN742.SPL, name: null, opcodes: 151 
SPIN743.SPL, name: null, opcodes: 151 
SPIN744.SPL, name: null, opcodes: 151 
SPIN745.SPL, name: null, opcodes: 174 215 107 
SPIN746.SPL, name: null, opcodes: 17 81 11 79 240 
SPIN747.SPL, name: null, opcodes: 0 174 108 57 215 
SPIN748.SPL, name: null, opcodes: 174 215 166 
SPIN749.SPL, name: null, opcodes: 174 108 57 215 44 
SPIN750.SPL, name: null, opcodes: 49 174 6 215 
SPIN751.SPL, name: null, opcodes: 174 108 57 215 104 
SPIN752.SPL, name: null, opcodes: 174 215 29 28 30 
SPIN753.SPL, name: null, opcodes: 174 108 57 10 215 
SPIN754.SPL, name: null, opcodes: 174 215 120 
SPIN755.SPL, name: null, opcodes: 18 174 108 57 215 
SPIN756.SPL, name: null, opcodes: 34 35 33 174 36 37 215 
SPIN757.SPL, name: Word Of Power, opcodes: 174 215 265 269 
SPIN758.SPL, name: Word Of Power, opcodes: 174 215 265 269 
SPIN759.SPL, name: Charisma Increase, opcodes: 174 6 215 
SPIN760.SPL, name: Constitution Increase, opcodes: 174 10 215 
SPIN761.SPL, name: Dexterity Increase, opcodes: 174 215 15 
SPIN762.SPL, name: Wisdom Increase, opcodes: 49 174 215 
SPIN763.SPL, name: Intelligence Increase, opcodes: 19 174 215 
SPIN764.SPL, name: Strength Increase, opcodes: 174 215 44 
SPIN765.SPL, name: null, opcodes: 174 104 
SPIN766.SPL, name: null, opcodes: 174 15 
SPIN767.SPL, name: null, opcodes: 18 174 
SPIN768.SPL, name: null, opcodes: 139 81 58 77 177 215 240 
SPIN769.SPL, name: null, opcodes: 185 
SPIN770.SPL, name: null, opcodes: 174 215 13 
SPIN771.SPL, name: null, opcodes: 174 215 12 
SPIN772.SPL, name: null, opcodes: 174 54 142 24 
SPIN773.SPL, name: Lay On Hands, opcodes: 17 174 215 
SPIN774.SPL, name: Maze, opcodes: 141 174 213 
SPIN775.SPL, name: null, opcodes: 39 174 215 
SPIN776.SPL, name: null, opcodes: 218 109 287 166 
SPIN777.SPL, name: null, opcodes: 174 
SPIN778.SPL, name: Wild Magic Zone, opcodes: 174 142 281 280 
SPIN779.SPL, name: Anti-Magic, opcodes: 139 141 81 174 142 58 77 177 215 240 60 
SPIN780.SPL, name: null, opcodes: 174 215 13 
SPIN781.SPL, name: null, opcodes: 174 215 13 269 
SPIN782.SPL, name: null, opcodes: 238 174 215 
SPIN783.SPL, name: Slayer Change, opcodes: 169 101 141 174 142 296 111 267 215 208 135 
SPIN784.SPL, name: Snake Gaze, opcodes: 141 174 142 78 
SPIN785.SPL, name: null, opcodes: 5 215 
SPIN786.SPL, name: Banishment, opcodes: 141 174 215 
SPIN787.SPL, name: null, opcodes: 12 
SPIN788.SPL, name: Imprisonment, opcodes: 141 174 211 
SPIN789.SPL, name: Demilich Howl, opcodes: 141 55 174 
SPIN790.SPL, name: , opcodes: 
SPIN791.SPL, name: null, opcodes: 151 
SPIN792.SPL, name: , opcodes: 174 12 
SPIN793.SPL, name: null, opcodes: 238 174 215 
SPIN794.SPL, name: null, opcodes: 174 215 
SPIN795.SPL, name: null, opcodes: 174 215 269 
SPIN796.SPL, name: null, opcodes: 174 215 
SPIN797.SPL, name: null, opcodes: 174 215 
SPIN798.SPL, name: null, opcodes: 215 151 
SPIN799.SPL, name: Flame Strike, opcodes: 174 215 12 
SPIN800.SPL, name: null, opcodes: 215 
SPIN801.SPL, name: null, opcodes: 106 
SPIN802.SPL, name: Pyschic Drain, opcodes: 39 174 215 
SPIN803.SPL, name: null, opcodes: 174 215 151 
SPIN804.SPL, name: Pyschic Drain, opcodes: 174 215 13 
SPIN805.SPL, name: null, opcodes: 220 238 141 174 
SPIN806.SPL, name: null, opcodes: 174 215 271 151 
SPIN807.SPL, name: Slayer Fear, opcodes: 142 24 12 
SPIN808.SPL, name: null, opcodes: 49 19 174 6 142 10 215 44 15 
SPIN809.SPL, name: null, opcodes: 174 215 151 
SPIN810.SPL, name: Slayer Change, opcodes: 171 139 174 215 
SPIN811.SPL, name: null, opcodes: 174 215 151 
SPIN812.SPL, name: null, opcodes: 174 215 151 
SPIN813.SPL, name: Death Curse, opcodes: 141 174 13 
SPIN814.SPL, name: null, opcodes: 174 215 151 
SPIN815.SPL, name: null, opcodes: 174 215 151 
SPIN816.SPL, name: null, opcodes: 174 215 151 
SPIN817.SPL, name: null, opcodes: 40 12 44 15 
SPIN818.SPL, name: null, opcodes: 40 44 
SPIN819.SPL, name: Lava burst, opcodes: 141 174 12 269 
SPIN820.SPL, name: Wail of the Banshee, opcodes: 141 55 174 
SPIN821.SPL, name: null, opcodes: 
SPIN822.SPL, name: Slayer Change, opcodes: 174 215 265 
SPIN823.SPL, name: Slayer Change, opcodes: 171 139 169 206 101 174 172 142 111 161 12 106 135 23 321 296 267 215 240 
SPIN824.SPL, name: Death Curse, opcodes: 141 174 
SPIN825.SPL, name: Drow Transformation, opcodes: 141 174 215 177 
SPIN826.SPL, name: Strength, opcodes: 50 139 54 174 142 97 215 44 
SPIN827.SPL, name: Lay On Hands, opcodes: 17 50 139 141 215 
SPIN828.SPL, name: Haste, opcodes: 16 139 141 174 142 93 
SPIN829.SPL, name: Create Bruiser Mates, opcodes: 174 122 
SPIN830.SPL, name: null, opcodes: 206 141 174 135 
SPIN831.SPL, name: null, opcodes: 141 174 135 
SPIN832.SPL, name: Silver Dragon Paralization, opcodes: 174 142 215 45 
SPIN833.SPL, name: Silver Dragon Cone of Cold, opcodes: 174 215 12 
SPIN834.SPL, name: Psionic Blast, opcodes: 142 215 12 45 
SPIN835.SPL, name: null, opcodes: 
SPIN836.SPL, name: Wish, opcodes: 141 55 174 
SPIN837.SPL, name: Wish, opcodes: 231 
SPIN838.SPL, name: Loses all Bhaal powers, opcodes: 172 
SPIN839.SPL, name: Confusion, opcodes: 139 174 142 128 215 
SPIN840.SPL, name: null, opcodes: 174 177 
SPIN841.SPL, name: null, opcodes: 174 177 
SPIN842.SPL, name: null, opcodes: 174 177 
SPIN843.SPL, name: null, opcodes: 174 177 
SPIN844.SPL, name: null, opcodes: 174 177 
SPIN845.SPL, name: null, opcodes: 174 177 
SPIN846.SPL, name: null, opcodes: 168 215 
SPIN847.SPL, name: null, opcodes: 151 
SPIN848.SPL, name: Level Drain, opcodes: 139 264 
SPIN849.SPL, name: null, opcodes: 151 
SPIN850.SPL, name: null, opcodes: 151 
SPIN851.SPL, name: null, opcodes: 141 151 
SPIN852.SPL, name: Slayer Change, opcodes: 169 101 174 142 172 296 111 247 267 215 208 135 
SPIN853.SPL, name: Otiluke's Resilient Sphere, opcodes: 169 101 206 174 142 166 85 84 87 155 185 86 267 27 89 29 88 28 30 
SPIN854.SPL, name: null, opcodes: 235 174 142 282 
SPIN855.SPL, name: null, opcodes: 174 177 
SPIN856.SPL, name: null, opcodes: 174 177 
SPIN857.SPL, name: null, opcodes: 174 177 
SPIN858.SPL, name: null, opcodes: 19 174 215 
SPIN859.SPL, name: null, opcodes: 49 174 215 
SPIN860.SPL, name: null, opcodes: 174 215 15 
SPIN861.SPL, name: null, opcodes: 174 10 215 
SPIN862.SPL, name: null, opcodes: 162 
SPIN863.SPL, name: null, opcodes: 109 
SPIN864.SPL, name: Rapture of the Father, opcodes: 141 55 174 12 
SPIN865.SPL, name: Flesh to Stone, opcodes: 174 215 134 
SPIN866.SPL, name: Dispel Magic, opcodes: 139 81 174 77 58 215 177 240 
SPIN867.SPL, name: null, opcodes: 
SPIN868.SPL, name: null, opcodes: 141 174 215 135 
SPIN869.SPL, name: null, opcodes: 141 174 82 111 215 208 135 
SPIN870.SPL, name: null, opcodes: 174 177 
SPIN871.SPL, name: End Spell, opcodes: 141 123 13 
SPIN872.SPL, name: null, opcodes: 169 101 23 142 321 296 267 161 106 240 
