Name;TobEx;Params;Label
AttackNoSound;false;O:Target;This action instructs the active creature to attack the target, without sounding a battlecry. 
AttackOneRound;false;O:Target;This action instructs the active creature to attack the specified target for one round.
AttackReevaluate;false;O:Target,I:ReevaluationPeriod;This action instructs the active creature to attack the target for the specified time (ReevaluationPeriod) which is measured in AI updates (which default to 15 per second).The script will then run again, checking for other true conditions. 
BackStab;false;O:Target;This action instructs the active creature to backstab the specified target. Note that some creatures (notably dragons and golems) are immune to being backstabbed, that not all weapons are valid to backstab with, and that the active creature must be hidden to make a successful backstab. This action causes the game to crash. As long as the correct conditions are met, the first attack of a hidden creature will count as a backstab attack. 
BanterBlockFlag;false;I:StateBoolean;This action dictates whether the banter timer can expire. 
BanterBlockTime;false;I:Time;This action extends the time taken for the banter timer to expire. The banter timers are hardcoded and every time one expires an NPC's b****.dlg is called. 
BashDoor;false;0:Object;This action is miscoded in the default action.ids file (the number 0 should be the capital letter O). When corrected, this action causes the active creature to attempt to bash the specified door. 
BattleSong;false;null;This action instructs the active creature to play their associated bard song. 
Berserk;false;null;This action has not been seen to produce any results. 
BreakInstants;false;null;This action has not been seen to produce any results. 
CallLightning;false;O:Target;This action calls lightning from the sky against the specified target, causing immediate death (unless the target has the MinHP effect applied). The lightning does not always show, and if it does, it is not always in the expected location. 
Calm;false;O:Object;This action reverses the effect of the Panic action, and may also remove other effects. 
ChangeAIScript;false;S:ScriptFile,I:LevelScrlev;This action changes the assigned script file for the active creature. The new script name is specified in the scriptfile parameter. The level parameter dictates the script level to change - values are from scrlev.ids. Scripts can be set for any scriptable object (container, creature, door etc.), but are not persisted. 
ChangeAIType;false;O:Object;This action changes the IDS identifiers for the active creature to the values specified. The object parameter must be in the IDS object form (i.e [EA.GENERAL.RACE.CLASS.SPECIFIC.GENDER.ALIGN]). If parameters are missing, they will default to 0. If a symbolic object is passed, all identifiers will be cleared and the IDS identifier bytes will be filled. ChangeAIType(NearestEnemyOf(LastSeenBy(LastTalkedToBy(LastTrigger())))) would zero Allegiance, General, Race, Class, Specific, Gender, and Alignment, set spec 1 to 'Myself' (the object.ids value, 1), 2 to LastTrigger, 3 to LastTalkedToBy, 4 to LastSeenBy, and 5 to NearestEnemyOf. 
ChangeAlignment;false;O:Object,I:ValueAlign;This action changes the alignment of the target creature to the specified value. Values are from align.ids.  
ChangeAnimation;false;S:ResRef;This action will change the animation of the active creature to match that of the specified CRE file. If the active creature is in the party, the action will create the specified creature. 
ChangeAnimationNoEffect;false;S:ResRef;This action will change the animation of the active creature to match that of the specified CRE file. If the active creature is in the party, the action will create the specified creature. No lighting effects are played. 
ChangeClass;false;O:Object,I:ValueClass;This action changes the class of the target creature to the specified value. Values are from class.ids. 
ChangeEnemyAlly;false;O:Object,I:ValueEA;This action changes the EA status of the target creature to the specified value. Values are from ea.ids. 
ChangeGender;false;O:Object,I:ValueGender;This action changes the gender of the target creature to the specified value. Values are from gender.ids.  
ChangeGeneral;false;O:Object,I:ValueGeneral;This action changes the general status of the target creature to the specified value. Values are from general.ids. 
ChangeRace;false;O:Object,I:ValueRace;This action changes the race of the target creature to the specified value. Values are from race.ids. 
ChangeSpecifics;false;O:Object,I:ValueSpecific;This action changes the specific status of the target creature to the specified value. Values are from specific.ids. The action produces inconsistent results when used on player characters in multiplayer games. The specific value is represented by one byte, and so is limited to values 0-255 
ChangeTileState;false;O:Tile,I:StateBoolean;This action sets the open/closed graphic of a tile in a WED file. 
ClearActions;false;O:Object;This action clears the action list of the specified object (including ModalActions).  
ClearAllActions;false;null;This action clears any queued actions for all creatures in the area. 
ClickLButtonObject;false;O:Target,I:ScrollSpeedScroll;This action has not been seen to produce any results. 
ClickLButtonPoint;false;P:Target,I:ScrollSpeedScroll;This action has not been seen to produce any results. 
ClickRButtonObject;false;O:Target,I:ScrollSpeedScroll;This action has not been seen to produce any results. 
ClickRButtonPoint;false;P:Target,I:ScrollSpeedScroll;This action has not been seen to produce any results. 
CloseDoor;false;O:Object;This action closes the specified door. The example script is from ar0300.bcs. 
ContainerEnable;false;O:Object,I:BoolBOOLEAN;This action is used in conjunction with containers in ARE files. The action sets the enabled state of a container (specified by the object parameter). 
Continue;false;null;This action instructs the script parser to continue looking for actions in the active creatures action list. This is mainly included in scripts for efficiency. Continue should also be appended to any script blocks added to the top of existing scripts, to ensure correct functioning of any blocks which include the OnCreation trigger. Continue may prevent actions being completed until the script parser has finished its execution cycle. Continue() must be the last command in an action list to function correctly. Use of continue in a script block will cause the parser to treater subsequent empty response blocks as though they contained a Continue() command - this parsing can be stopped by including a NoAction() in the empty response block. 
CopyGroundPilesTo;false;S:ResRef,P:Location;This action copies all items lying around on the ground in the current area to the specified point in the target area. 
CreateCreature;false;S:NewObject,P:Location,I:Face;This action is used to create a creature - either an NPC, a neutral creature or an enemy. NewObject is the filename of the creature to create, Location is the coordinates to create the creature at ([x.y] format) and direction being the direction the creature is facing (0-15, 0 being south and the facing values increasing as the character turns clockwise). Note that a coordinate of [-1.-1] will create the creature next to the active creature. 
CreateCreatureAtLocation;false;S:GLOBAL,S:Area,S:ResRef;This action creates the specified creature at the specified saved location. 
CreateCreatureCopyPoint;false;S:ResRef,O:Object,P:Dest;This action creates the specified creature at the specified point and sets its animation to that of the active creature. 
CreateCreatureDoor;false;S:NewObject,P:Location,I:Face;This action creates the specified creature at the specified location, and plays the dimension door graphic. The creature appears after approximately 100 AI cycles (~3.5 seconds at the default of 30 frame/second). 
CreateCreatureImpassable;false;S:NewObject,P:Location,I:Face;This action creates the specified creature on a normally impassable surface (e.g. on a wall, on water, on a roof). 
CreateCreatureImpassableAllowOverlap;false;S:NewObject,P:Location,I:Face;This action creates the specified creature at the specified location, facing the specified direction. The creature will be created even if the searchmap is marked as impassable, or whether there are any other obstructions. 
CreateCreatureObject;false;S:ResRef,O:Object,I:Usage1,I:Usage2,I:Usage3;This action will create the specified creature next to the specified object. The facing of the creature is controlled by the Usage1 parameter. 
CreateCreatureObjectCopy;false;S:ResRef,O:Object,I:Usage1,I:Usage2,I:Usage3;This action creates the specified creature and sets its animation to that of the active creature. 
CreateCreatureObjectCopyEffect;false;S:ResRef,S:Effect,O:Object;null
CreateCreatureObjectDoor;false;S:ResRef,O:Object,I:Usage1,I:Usage2,I:Usage3;This action will create the specified creature next to the specified object, and plays the dimension door graphic. The facing of the creature is controlled by the Usage1 parameter. The creature appears after approximately 100 AI cycles (~3.5 seconds at the default of 30 frame/second). 
CreateCreatureObjectEffect;false;S:ResRef,S:Effect,O:Object;null
CreateCreatureObjectOffScreen;false;S:ResRef,O:Object,I:Usage1,I:Usage2,I:Usage3;This action creates the specified creature just off-screen from the current viewpoint (the north/south/east/west direction is random). The facing of the creature is controlled by the Usage1 parameter. 
CreateCreatureObjectOffset;false;S:ResRef,O:Object,P:Offset;This action creates the specified creature at a location offset from the target object point. 
CreateCreatureOffScreen;false;S:ResRef,I:Face;This action creates the specified creature just offscreen from the active creature. 
CreateItem;false;S:ResRef,I:Usage1,I:Usage2,I:Usage3;This action creates the specified item (resref) on the active creature. The usage parameters determine the number of items created or the number of charges on the item, depending on the item type being created.  
CreateItemGlobal;false;S:Global,S:Area,S:ResRef;This action creates a quantity of items equal to a global variable on the active creature. 
CreateVisualEffect;false;S:Object,P:Location;This action plays the animation specified by the object parameter at the specified location ([x.y]). Animation preference order is applied, i.e. the engine first looks to play a VVC file of the specified name, if no such a file exists, the engine looks to play a BAM file of the specified. 
CreateVisualEffectObject;false;S:DialogFile,O:Target;This action plays the animation specified by the (mis-named) DialogFile parameter on the specified object. Animation preference order is applied, i.e. the engine first looks to play a VVC file of the specified name, if no such a file exists, the engine looks to play a BAM file of the specified. 
CutSceneId;false;O:Object;This action is used internally in a cutscene to make the object with the specified death variable perform actions. The action appears to only work from a creature script. 
DayNight;false;I:TimeOfDayTime;This action changes the time of day. The time parameter is taken from time.ids, though a direct number can be specified. The example script is from when Irenicus leaves his dungeon. 
Deactivate;false;O:Object;This action deactivates the target creature. The creature remains in the area, but is removed from play - i.e. it is invisible and cannot be interacted with. 
DeathMatchPositionArea;false;S:Areaname,P:Dest,I:Player;This action has not been seen to produce any results. It is likely they were used for the unimplemented multiplayer deathmatch mode. 
DeathMatchPositionGlobal;false;S:Areaname,P:Dest,I:Player;This action has not been seen to produce any results. It is likely they were used for the unimplemented multiplayer deathmatch mode. 
DeathMatchPositionLocal;false;S:Areaname,P:Dest,I:Player;This action has not been seen to produce any results. It is likely they were used for the unimplemented multiplayer deathmatch mode. 
DemoEnd;false;null;This action ends the demo and returns the player to the game selection screen. 
DestroyAllDestructableEquipment;false;null;This action destroys all destructible equipment on the active creature. Items flagged as indestructible (magical) will not be destroyed. 
DestroyAllEquipment;false;null;This action destroys all items on the active creature. 
DestroyGold;false;I:Gold;This action removes the specified amount of gold from the party. DestroyGold(0) will remove all gold from current creature. Note that this action affects the gold stat of the creature (not Party Gold or MISC07 items). 
DestroyItem;false;S:ResRef;This action removes a single instance of the specified item from the active creature, unless the item exists in a stack, in which case the entire stack is removed.
DestroySelf;false;null;This action removes the active creature from the game. No death variable is set. The example script is from the Irenicus cutscene at the beginning of the game. 
DetectSecretDoor;false;O:Object;This action will highlight the specified secret door in purple, to indicate it has been detected. 
Dialog;false;O:Object;This action instructs the active creature to initiate dialog with the target creature. Dialog will not be initiated if the creature using this action has been assigned a dialog that has all top level conditions returning false. 
DialogForceInterrupt;false;O:Object;These actions work the same as their counterpart dialog actions. The only difference is that they are important enough to interrupt other dialogs already in action. 
DialogInterrupt;false;I:StateBoolean;This action sets the interrupt state of the active creature. When set to false the creature cannot receive dialog requests or issue verbal constants. The interrupt state of a creature is not saved. 
Dialogue;false;O:Object;This action instructs the active creature to initiate dialog with the target creature. Dialog will not be initiated if the creature using this action has been assigned a dialog that has all top level conditions returning false. 
DialogueForceInterrupt;false;O:Object;These actions work the same as their counterpart dialog actions. The only difference is that they are important enough to interrupt other dialogs already in action. 
DialogueIncrementGlobal;true;S:Name,S:Area,I:Value;Increments the variable 'Name' in the scope 'Area' by 'Value' immediately instead of being added through the dialogue owner's action queue. This allows variables to be set instantaneously and checked immediately afterwards in the same dialogue. ActionOverride() is supported. If used outside dialogue, this action behaves exactly as IncrementGlobal(). 
DialogueInterrupt;false;I:StateBoolean;This action sets the interrupt state of the active creature. When set to false the creature cannot receive dialog requests or issue verbal constants. The interrupt state of a creature is not saved. 
DialogueSetGlobal;true;S:Name,S:Area,I:Value;Sets the variable 'Name' in the scope 'Area' to 'Value' immediately instead of being added through the dialogue owner's action queue. This allows variables to be set instantaneously and checked immediately afterwards in the same dialogue. ActionOverride() is supported. If used outside dialogue, this action behaves exactly as SetGlobal(). 
DialogueSG;true;S:Name,I:Num;Sets the global variable 'Name' to 'Num' immediately instead of being added through the dialogue owner's action queue. This allows variables to be set instantaneously and checked immediately afterwards in the same dialogue. ActionOverride() is supported. If used outside dialogue, this action behaves exactly as SG(). 
DisplayString;false;O:Object,I:StrRef;This action displays the strref specified by the StrRef parameter in the message window, attributing the text to the specified object. 
DisplayStringHead;false;O:Object,I:StrRef;This action displays the specified string over the head on the specified object (on the game-screen).  
DisplayStringHeadDead;false;O:Object,I:StrRef;This action displays the specified string over the head on the specified object (on the game-screen) even if the target is dead. 
DisplayStringHeadOwner;false;S:Item,I:STRREF;This action displays the specified strref over the head of the creature with the specified item. The action only checks current party members. 
DisplayStringNoName;false;O:Object,I:StrRef;This action displays the strref specified by the StrRef parameter in the message window, without attributing the text to an object. 
DisplayStringNoNameHead;false;O:Object,I:StrRef;This action displays the specified string over the head on the specified object (on the game-screen), without displaying it in the message log. 
DisplayStringWait;false;O:Object,I:StrRef;This action displays the specified string over the head on the specified object (on the game-screen). The text stays onscreen until the associated sound has completed playing. 
DoubleClickLButtonObject;false;O:Target,I:ScrollSpeedScroll;This action has not been seen to produce any results. 
DoubleClickLButtonPoint;false;P:Target,I:ScrollSpeedScroll;This action has not been seen to produce any results. 
DoubleClickRButtonObject;false;O:Target,I:ScrollSpeedScroll;This action has not been seen to produce any results. 
DoubleClickRButtonPoint;false;P:Target,I:ScrollSpeedScroll;This action has not been seen to produce any results. 
DropInventory;false;null;This action causes the active creature to drop all its inventory items. 
DropItem;false;S:Object,P:Location;This action instructs the active creature to drop the specified item at the specified location (relative to the active creature). The active creature must have the item to be dropped. Note that a coordinate of [-1.-1] will drop the item next to the active creature. 
EndCredits;false;null;This action shows the ending credits. 
EndCutSceneMode;false;null;This action ends a cutscene, and restores the GUI and player control. 
Enemy;false;null;This action is used to change the allegiance of the active creature to enemy (making them hostile to the PC). This example script, from a peasant, will turn the creature hostile if it is attacked. 
EquipItem;false;S:Object;This action instructs the active creature to equip the specified item. The item needs to be in one of the creatures quickslots. 
EquipMostDamagingMelee;false;null;This action instructs the active creature to equip the most damaging melee weapon from those available in the quickslots. Damage is calculated on the THAC0 bonus and damage - special bonuses versus creature types and elemental damages are not checked. 
EquipRanged;false;null;This action instructs the active creature to a ranged weapon from the weapons available in the quickslots. 
EraseJournalEntry;false;I:STRREF;This action removes the specified strref from the journal, regardless of the journal section the entry is in - except the user section. 
EscapeArea;false;null;This action, in its first form, instructs the active creature to leave the current area, either by walking, or, if the path is blocked, by simply disappearing. In the actions second form the action functions as a combination of EscapeAreaDestroy() and MoveBetweenAreas(). The parameters are similar to MoveBetweenAreas(), in that it takes in all the same information, but unlike MoveBetweenAreas(), the character will search for the nearest enabled travel trigger, move to that, then execute his movement to the specified area. If no travel trigger is found, the creature will just execute the movement. The action is uninterruptable. actions listed this one in a script may not execute as intended.
EscapeAreaDestroy;false;I:Delay;This action instructs the active creature to search for the nearest travel trigger point for the specified time (measured in second) before giving up and just disappearing. 
EscapeAreaMove;false;S:Area,I:X,I:Y,I:Face;This action, in its first form, instructs the active creature to leave the current area, either by walking, or, if the path is blocked, by simply disappearing. In the actions second form the action functions as a combination of EscapeAreaDestroy() and MoveBetweenAreas(). The parameters are similar to MoveBetweenAreas(), in that it takes in all the same information, but unlike MoveBetweenAreas(), the character will search for the nearest enabled travel trigger, move to that, then execute his movement to the specified area. If no travel trigger is found, the creature will just execute the movement. 
EscapeAreaNoSee;false;null;This action has not been seen to produce any results. 
EscapeAreaObject;false;O:Object;This action instructs the active creature to leave the area via the specified region. 
EscapeAreaObjectMove;false;S:ResRef,O:Object,I:X,I:Y,I:Face;This action instructs the target object to leave the current area, either by walking, or, if the path is blocked, by simply disappearing. The action functions as a combination of EscapeAreaDestroy() and MoveBetweenAreas(). The parameters are similar to MoveBetweenAreas(), in that it takes in all the same information, but unlike MoveBetweenAras(), the character will search for the nearest travel trigger, move to that, then execute his movement to the specified area. If he cannot find a travel trigger, he will execute the movement. 
ExitPocketPlane;false;null;This action tleports the party to the area from which the 'Area Switch: Pocket Plane' effect was last used. If this effect has never been used, or the party is not in the Pocket Plane this action has no effect. 
Explore;false;null;This action removes the fog of war for the area the active creature is in. 
Face;false;I:Direction;This action instructs the active creature to face the specified direction. Directions run from 0-15 with 0 being south and moving clockwise. Negative values act as relative directions to the current direction. 
FaceObject;false;O:Object;This action instructs the active creature to face the target object. 
FadeFromColor;false;P:Point,I:Blue;This action will unfade the screen. The point parameter is given in [x.y] format with the x coordinate specifying the number of AI updates (which default to 15 per second) to take to complete the fade action. 
FadeToColor;false;P:Point,I:Blue;This action will fade the screen. The point parameter is given in [x.y] format with the x coordinate specifying the number of AI updates (which default to 15 per second) to take to complete the fade action. 
FakeEffectExpiryCheck;false;O:Object,I:Ticks;This action removes effects with a duration timing mode from the specified object, if the remaining duration is below the ticks parameter. The action appears to only work from a creature script.  
FillSlot;false;I:SlotSLOTS;This action will attempt to fill a slot in the active creature's inventory with the appropriate item type. Using FillSlot(SLOT_WEAPON) will look for any weapon in the inventory, and move the first such item into the weapon slot. Any item already in the slot is destroyed. 
FindTraps;false;null;This action instructs the active creature to enter Detect Traps modal state. This action can be used for any creature (not just thieves) though success in detecting traps is dependent on points in the Find Traps skill. 
Follow;false;P:Point;This action instructs the active creature to move to the specified point following the marked Leader. 
FollowObjectFormation;false;O:Object,I:Formation,I:Position;This action instructs the active creature to follow the target object, in the specified formation, taking up the specified position. The Formation parameter represents the formation type (e.g. two lines, arrowhead, single line). The position should be in the range [0,5].  
FollowPath;false;null;Unknown 
ForceSpell;false;O:Target,I:SpellSpell;This action causes the active creature to cast the specified spell at the target object. The spell need not currently be memorised by the caster, and will not be interrupted while being cast. The caster must meet the level requirements of the spell. For the RES version of the action, the spell name can not consist of only numbers, should be written in upper case and should be no more than 7 characters long. This action may not be reliable.  
ForceSpellPoint;false;P:Target,I:SpellSpell;This action causes the active creature to cast the specified spell at the specified point ([x.y]). The spell need not currently be memorised by the caster, and will not be interrupted while being cast. The caster must meet the level requirements of the spell. For the RES version of the action, the spell name can not consist of only numbers, should be written in upper case and should be no more than 7 characters long. 
ForceSpellPointRange;false;P:Target,I:SpellSpell;This action is untested. It is likely that it will force the specified spell if the target is within range of the spell. 
ForceSpellPointRangeRES;false;S:RES,P:Target;This action is untested. It is likely that it will force the specified spell if the point is within range of the spell. 
ForceSpellPointRES;false;S:RES,P:Target;This action causes the active creature to cast the specified spell at the specified point ([x.y]). The spell need not currently be memorised by the caster, and will not be interrupted while being cast. The caster must meet the level requirements of the spell. For the RES version of the action, the spell name can not consist of only numbers, should be written in upper case and should be no more than 7 characters long. 
ForceSpellRange;false;O:Target,I:SpellSpell;This action is untested. It is likely that it will force the specified spell if the target is within range of the spell. 
ForceSpellRangeRES;false;S:RES,O:Target;This action causes the active creature to cast the specified spell at the target point. The spell need not currently be memorised by the caster, and will not be interrupted while being cast. The spell is cast instantly (i.e. with a casting time of 0). The caster must meet the level requirements of the spell. For the RES version of the action, the spell name can not consist of only numbers, should be written in upper case and should be no more than 7 characters long. This action may not be reliable. 
ForceSpellRES;false;S:ResRef,O:Target;This action causes the active creature to cast the specified spell at the target object. The spell need not currently be memorised by the caster, and will not be interrupted while being cast. The caster must meet the level requirements of the spell. For the RES version of the action, the spell name can not consist of only numbers, should be written in upper case and should be no more than 7 characters long. This action may not be reliable.  
Formation;false;O:Leader,P:Offset;This action can used to make the active creature follow the creature specified by the leader parameter, maintain a relative position determined by the offset parameter. 
GetItem;false;S:Object,O:Target;This action has not been seen to produce any results. 
GiveGoldForce;false;I:Amount;This action gives the specified amount of gold to the party. The active creature need not have the gold in its 'money variable'. A negative amount will remove gold from the active creature. 
GiveItem;false;S:Object,O:Target;This action instructs the active creature to give the specified item (parameter 1) to the specified target (parameter 2). The active creature must possess the item to pass it (holding it within a container within the inventory is fine). The sample script makes uses of modified IDS files (action, instant, trigger and svtiobj) though such modification are not necessary to use the GiveItem action itself. 
GiveItemCreate;false;S:ResRef,O:Object,I:Usage1,I:Usage2,I:Usage3;This action creates the item specified by the resref parameter on the creature specified by the object parameter, with quantity/charges controlled by the usage parameters. 
GiveOrder;false;O:Object,I:Order;This action is used in conjunction with the ReceivedOrder trigger, and works in a similar way to a global shout. The action passes a numeric order to the specified creature. Only one creature at a time responds to an order, and creatures to not detect their own orders. 
GivePartyAllEquipment;false;null;This action causes the active creature to give all their items to the party. 
GivePartyGold;false;I:Amount;This action gives the specified amount of gold to the party. The active creature must have the gold in its 'money variable'. 
GivePartyGoldGlobal;false;S:Name,S:Area;This action gives the party a sum of gold corresponding to the given global variable. The gold amount is deducted from the active creature. The example script will give the party 50gp. 
GlobalShout;false;I:ID;This action acts like Shout() without the range limit. 
GoToStartScreen;false;null;This action returns the player to the game start screen. 
GroupAttack;false;O:Target;This action instructs the active creature to attack creatures with the same specific value as the target creature. 
Help;false;null;This action acts similar to shout, but does not accept values. The range of the Help action is slightly larger than the default visual radius of NPCs. 
Hide;false;null;This action instructs the active creature to attempt to Hide in Shadows. This action can be used for any creature (not just thieves) though success in hiding is dependent on points in the Stealth skill. 
HideAreaOnMap;false;S:ResRef;This action hides an area on the worldmap, preventing travelling to it. 
HideGUI;false;null;This action hides the docking borders, menus, etc. on the sides of the screen. 
IncMoraleAI;false;I:Morale;This action has not been seen to produce any results. 
IncrementChapter;false;S:RESREF;This action is used to increment the chapter, and display a text screen (specified by the resref parameter - a 2DA file).  
IncrementGlobal;false;S:Name,S:Area,I:Value;This action alters the specified variable, in the specified scope, by the amount indicated. The amount can be positive or negative. Variables in the local scope cannot be changed with this action.
Interact;false;O:Object;This action is used to initiate banter between NPCs. The example script is from edwin.bcs. 
JoinParty;false;null;This action adds the active creature to the party. If the party is currently full the 'select party members' dialog is shown. JoinParty clears the ActionQueue of the active creature. 
JumpToPoint;false;P:Target;This action instantly moves the active creature to the specified point. 
Kill;false;O:Object;This action causes the target creature to die, dropping any droppable items they are carrying. 
LayHands;false;O:Target;This action is a leftover from BG1 - it does not work in BG2. 
Leader;false;P:Point;This action instructs the active creature to move to the specified point and marks the creature as a leader. The following example script sets Player1 walking to [3363.2954] and sets Player2 and Player3 to 'follow' to [3363.2954] in a line and with minimal walking into each other. This action is not fully understood, and is not particularly reliable. 
LeaveArea;false;S:Area,P:Point,I:Face;This action instructs the active creature to leave the current area. 
LeaveAreaLUA;false;S:Area,S:Parchment,P:Point,I:Face;This action changes the current area. 
LeaveAreaLUAEntry;false;S:Area,S:Entry,P:Point,I:Face;This action changes the current area. The active creature will move to the specified entry point (from entries.2da) before travelling. The action appears to only work from a creature script. 
LeaveAreaLUAPanic;false;S:Area,S:Parchment,P:Point,I:Face;This action changes the current area. 
LeaveAreaLUAPanicEntry;false;S:Area,S:Entry,P:Point,I:Face;This action changes the current area. The creature moves to the destination point (from entries.2da) before travelling (the point parameter is unused). 
LeaveParty;false;null;This action causes the active creature to leave the party. This action calls DropInventory() as part of its execution. 
Lock;false;O:Object;This action will lock the specified door/container. 
LockScroll;false;null;This action locks the screen on the active creature, preventing the screen from being scrolled away. The action only works from a creature script. 
LoseGame;true;null;Plays the ending cutscene as if the protagonist died. If the action is used in a pausing dialogue, the ending cutscene will play after the dialogue ends. This action does nothing in the arenas game type. 
MakeGlobal;false;null;This action adds the active creature to the GAM file. 
MakeUnselectable;false;I:Time;This action changes the active creature's selection circle to purple - making it unselectable. Creatures made unselectable stop processing scripts. 
MoraleDec;false;O:Target,I:Morale;This action alters the morale of the target by the specified amount. The change amount can be positive or negative. 
MoraleInc;false;O:Target,I:Morale;This action alters the morale of the target by the specified amount. The change amount can be positive or negative. 
MoraleSet;false;O:Target,I:Morale;This action sets the morale of the active creature. 
MoveBetweenAreas;false;S:Area,P:Location,I:Face;This action will move the active creature to the specified point in the indicated area, facing the appropriate direction. 
MoveBetweenAreasEffect;false;S:Area,S:Effect,P:Location,I:Face;This action will move the active creature to the specified point in the indicated area, facing the appropriate direction, and plays the specified graphics when the creature disappears. 
MoveCursorPoint;false;P:Target,I:ScrollSpeedScroll;This action has not been seen to produce any results. 
MoveGlobal;false;S:Area,O:Object,P:Point;This action will move the specified object to the target area, at the indicated point. The action will only work for creatures in the GAM file - i.e. NPCs or that have been added via MakeGlobal. 
MoveGlobalObject;false;O:Object,O:Target;This action says to jump the object in the first parameter to the object in the second parameter. The object in the first parameter does NOT have to be in the same area as the target, but must already be present in the saved game (as either an NPC or MakeGlobal()). 
MoveGlobalObjectOffScreen;false;O:Object,O:Target;This action moves the object creature a screen away from the specified target creature. The target object must be stored in the GAM file (i.e. NPC or added explicitly via the MakeGlobal action. 
MoveGlobalsTo;false;S:FromArea,S:ToArea,P:Location;This action is untested. It is likely to move all creatures present in the saved game that are currently in the FromArea parameter and move them to the Location in the ToArea parameter. 
